Input	ID_Name_1	ID_CAS_Nr_1	ID_EG_Nr	ID_EG_Annex_Nr	Boiling_Point_Minimum_°C	Melting_Point_Minimum_°C	Flash_Point_Minimum_°C	Vapour_Pressure_25°C_mmHg	Density_25°C_Minimum_kg/L	Viscosity_25°C_Minimum_mPa.s
DataType	string	string	string	string	numeric	numeric	numeric	numeric	numeric	numeric
Randomisation Range	NAV	NAV	NAV	NAV						
PARIS III	2,4-dimethylpentan-3-one	565-80-0	NAV	NAV	125.4	-69	22.1	13.43	0.8	0.6
PARIS III	4-ethyl-3-methyl-heptane	52896-89-6	NAV	NAV	165	-118.28	84.42	2.33	0.73	0.99
Chemtec Solvent Database	Dipropyl ether	111-43-3	NAV	NAV	90	-123	21	468.8	0.8	0.34
PARIS III	propan-2-ol	67-63-0	NAV	NAV	82.3	-89.5	11.67	4.54E+01	0.79	2.04
PARIS III	4-ethyl-2-methyl-heptane	52896-88-5	NAV	NAV	158	-108.2	81.89	2.58	0.73	0.94
PARIS III	5-methylheptan-3-one	541-85-5	NAV	NAV	159	-56.39	43.9	1.94	0.81	0.79
PARIS III	ethanol	64-17-5	200-578-6	NAV	78.2	-114.1	8.89	5.93E+01	0.78	1.07
PARIS III	propan-1-ol	71-23-8	200-746-9	NAV	97.2	-126.1	15	2.10E+01	0.8	1.96
PARIS III	2-methylpropan-1-amine	78-81-9	201-145-4	NAV	68.5	-85	-9	1.38E+01	0.72	0.56
PARIS III	2-methylpentan-3-one	565-69-5	NAV	NAV	113.5	-82.16	10.8	18.08	0.8	0.45
PARIS III	3-ethyl-5-methyl-heptane	52896-90-9	NAV	NAV	158.2	-107.85	82.7	2.54	0.73	1
PARIS III	2-methylpropan-2-amine	75-64-9	200-888-1	NAV	45	-72.65	-9	3.73E+01	0.7	0.67
Chemtec Solvent Database	Diethyl ether	60-29-7	NAV	NAV	34.43	-116.3	-45	537.044165028	0.715	0.22
PARIS III	2-methylbutan-1-amine	96-15-1	NAV	NAV	92.39	-105.09	3.3	3.57E+01	0.74	0.68
PARIS III	2-propan-2-yloxypropane	108-20-3	NAV	NAV	68.5	-86.8	-11.75	1.49E+02	0.76	0.38
